index,earnings_date,eps_est,eps_actual,close_before,close_after,price_change_pct,eps_result,Earnings Date,compound
0,2023-01-24,2.29,2.32,237.7492218017578,235.8184356689453,-0.81,Beat,2023-01-24,-0.0462005178844393
1,2023-04-25,2.23,2.45,276.8504638671875,290.2130126953125,4.83,Beat,2023-04-25,0.5943781272278281
2,2023-07-25,2.55,2.69,339.8258361816406,332.5982666015625,-2.13,Beat,2023-07-25,-0.2628593294353989
3,2023-10-24,2.65,2.99,324.96417236328125,336.1640625,3.45,Beat,2023-10-24,0.9582958422568436
4,2024-01-30,2.78,2.93,405.1213684082031,393.1175537109375,-2.96,Beat,2024-01-30,-0.8212097802923846
5,2024-04-25,2.82,2.94,405.2167053222656,402.5025024414063,-0.67,Beat,2024-04-25,0.2721790192548945
6,2024-07-30,2.93,2.95,423.483154296875,415.1669616699219,-1.96,Beat,2024-07-30,0.9584387428349614
7,2024-10-30,3.1,3.3,429.4360961914063,403.985107421875,-5.93,Beat,2024-10-30,0.2597463062128504
8,2025-01-29,3.11,3.23,445.4872741699219,413.4006042480469,-7.2,Beat,2025-01-29,-0.0003158097752686
9,2025-04-30,3.22,3.46,393.3179321289063,424.6204528808594,7.96,Beat,2025-04-30,-0.0556210946176847
